,name,longitude,latitude
14904,ZHOUSHAN,122.2166423944068,29.908362825290908
14905,ZHOUSHAN,122.21178536267078,29.88790386124673
14906,ZHOUSHAN,122.21105851175984,29.878377341119663
14907,ZHOUSHAN,122.205755142653,29.885748652224738
14908,ZHOUSHAN,122.2061746638226,29.87999703280356
14909,ZHOUSHAN,122.19907439449274,29.882610610616016
14910,ZHOUSHAN,122.20692018183136,29.874993078946787
14911,ZHOUSHAN,122.20651599878512,29.869035561361205
14912,ZHOUSHAN,122.21158212097106,29.868717263139512
14913,ZHOUSHAN,122.21068258265431,29.874331236556696
14914,ZHOUSHAN,122.22169600999908,29.881236154083528
14915,ZHOUSHAN,122.22158428850062,29.8861474938054
14916,ZHOUSHAN,122.22189105539672,29.890635745716303
14917,NINGBO,122.35329435081556,29.778109863270096
14918,NINGBO,122.34802797288188,29.779005846093735
14919,ZHOUSHAN,122.3478912498683,29.784197016324647
14920,ZHOUSHAN,122.34288919040068,29.760187174047694
14921,NINGBO,122.34306068653684,29.770312285898783
14922,NINGBO,122.34762074492347,29.76898532783345
14923,NINGBO,122.34771962866483,29.77366589005306
14924,NINGBO,122.35292784362576,29.77275646363176
14925,NINGBO,122.35281589835031,29.767468120079588
14926,ZHOUSHAN,122.17673070164656,29.84676439116277
14927,NINGBO,122.1818714522133,29.85049663449008
14928,NINGBO,122.18266031867984,29.86022908225544
14929,NINGBO,122.17776845240026,29.85737478049523
14930,NINGBO,122.16621101872026,29.86489512797204
14931,NINGBO,122.16601869252892,29.86014720584303
14932,NINGBO,122.17133017976424,29.85843934471853
14933,ZHOUSHAN,122.17234579016944,29.847571283340702
14934,ZHOUSHAN,122.16574677037016,29.850120345668508
14935,ZHOUSHAN,122.16620934614195,29.855187155930874
14936,ZHOUSHAN,122.16094491323972,29.856189081947495
14937,NINGBO,122.16105853622253,29.86205122479728
14938,NINGBO,122.16079328870818,29.866860680502253
14939,NINGBO,122.15494020415304,29.868611591663484
14940,ZHOUSHAN,122.00073020234711,29.707249790643168
14941,ZHOUSHAN,121.99571299106698,29.704961974211308
14942,ZHOUSHAN,122.05342424319484,29.68882580243424
14943,PUTIAN,119.4266471633584,25.27871548200575
14944,PUTIAN,119.43233290188049,25.282622627844557
14945,PUTIAN,119.44311596904616,25.28028277889188
14946,PUTIAN,119.64728063402367,25.305686690265485
14947,PUTIAN,119.65297564250056,25.320018635128715
